customer_id,signup_date,acquisition_channel,city,gender,age,senior_citizen,plan,contract_type,payment_method,paperless_billing,addon_count,monthly_charge,is_verified,is_activated,tenure_months,monthly_logins,last_active_date,total_revenue,churn_date,is_churned
CUST-100000,2026-05-26,Referral,Mumbai,Male,21,0,Standard,Two-Year,Debit Card,No,1,579.0,1,1,0,9.0,2026-05-23,579.0,,0
CUST-100001,2025-08-27,Paid Social,Surat,Male,19,0,Basic,Monthly,UPI,No,2,319.0,0,0,9,20.0,2026-05-07,2871.0,,0
CUST-100002,2025-11-04,Affiliate,Surat,Male,36,0,Standard,Monthly,Net Banking,Yes,0,470.0,1,1,6,19.0,2026-05-17,2820.0,,0
CUST-100003,2026-05-28,Referral,Delhi,Male,60,1,Premium,Annual,UPI,Yes,1,846.0,1,1,0,13.0,2026-05-28,846.0,2026-05-28,1
CUST-100004,2025-02-01,Organic Search,Delhi,Male,35,0,Standard,Monthly,Credit Card,Yes,2,607.0,1,1,15,33.0,2026-05-15,9105.0,,0
CUST-100005,2025-09-20,Email,Bengaluru,Female,40,0,Premium,Monthly,Wallet,No,1,866.0,1,0,8,11.0,2026-05-17,6928.0,,0
CUST-100006,2025-09-19,Referral,Delhi,Female,45,0,Standard,Monthly,UPI,Yes,0,478.0,1,1,2,25.0,2025-11-18,956.0,2025-11-18,1
CUST-100007,2026-03-24,Referral,Surat,Female,34,0,Basic,Annual,Debit Card,Yes,0,213.0,1,1,2,10.0,2026-05-25,426.0,,0
CUST-100008,2025-10-25,Organic Search,Mumbai,Male,43,0,Basic,Monthly,Debit Card,Yes,1,266.0,1,1,7,25.0,2026-05-07,1862.0,,0
CUST-100009,2024-12-12,Paid Social,Delhi,Male,49,0,Basic,Monthly,UPI,No,0,214.0,1,1,17,25.0,2026-05-03,3638.0,,0
CUST-100010,2026-03-09,Paid Social,Delhi,Female,62,1,Standard,Monthly,UPI,Yes,3,669.0,1,1,2,15.0,2026-05-14,1338.0,,0
CUST-100011,2026-01-15,Email,Ahmedabad,Male,57,0,Standard,Monthly,Net Banking,Yes,2,625.0,1,1,4,23.0,2026-05-23,2500.0,,0
CUST-100012,2024-09-10,Paid Search,Delhi,Female,60,1,Basic,Monthly,Wallet,No,2,303.0,1,0,20,15.0,2026-05-21,6060.0,,0
CUST-100013,2025-11-20,Affiliate,Kolkata,Male,45,0,Standard,Monthly,UPI,No,1,569.0,1,1,6,8.0,2026-05-17,3414.0,,0
CUST-100014,2024-12-10,Paid Social,Mumbai,M,54,0,Basic,Monthly,Net Banking,No,3,375.0,0,0,17,21.0,2026-05-20,6375.0,,0
CUST-100015,2024-12-15,Organic Search,Pune,Male,25,0,Basic,Monthly,Net Banking,Yes,2,317.0,1,1,17,19.0,2026-05-04,5389.0,,0
CUST-100016,2025-03-22,Paid Search,Delhi,Female,25,0,Standard,Monthly,Credit Card,Yes,2,619.0,0,0,14,18.0,2026-05-24,8666.0,,0
CUST-100017,2025-01-16,Organic Search,Mumbai,Female,65,1,Standard,Monthly,Net Banking,No,1,533.0,1,1,16,10.0,2026-05-09,8528.0,,0
CUST-100018,2026-01-13,Affiliate,Ahmedabad,Female,49,0,Basic,Annual,UPI,No,0,217.0,1,1,4,23.0,2026-05-13,868.0,,0
CUST-100019,2024-10-21,Paid Search,Mumbai,Male,23,0,Standard,Monthly,Credit Card,Yes,0,500.0,1,1,19,14.0,2026-05-17,9500.0,,0
CUST-100020,2026-03-14,Referral,Ahmedabad,Female,39,0,Premium,Monthly,Wallet,Yes,2,937.0,1,1,2,15.0,2026-05-08,1874.0,,0
CUST-100021,2024-07-11,Paid Social,Delhi,Male,68,1,Standard,Monthly,Debit Card,No,3,696.0,1,0,22,12.0,2026-05-18,15312.0,,0
CUST-100022,2024-12-20,Email,Chennai,Male,19,0,Premium,Annual,UPI,Yes,0,787.0,1,1,17,25.0,2026-05-26,13379.0,,0
CUST-100023,2025-04-26,Affiliate,Hyderabad,Female,41,0,Basic,Monthly,Debit Card,No,0,195.0,1,1,13,6.0,2026-05-23,2535.0,,0
CUST-100024,2025-06-03,Referral,Jaipur,Female,61,1,Basic,Annual,UPI,Yes,0,176.0,1,1,11,6.0,2026-05-08,1936.0,,0
CUST-100025,2026-03-08,Organic Search,Delhi,Male,67,1,Basic,Annual,UPI,No,1,277.0,1,1,2,20.0,2026-05-08,554.0,,0
CUST-100026,2025-08-18,Paid Social,Hyderabad,Male,37,0,Standard,Monthly,UPI,Yes,0,504.0,0,0,9,9.0,2026-05-11,4536.0,,0
CUST-100027,2025-06-21,Organic Search,Pune,Male,65,1,Basic,Monthly,UPI,Yes,2,322.0,1,1,11,25.0,2026-05-03,3542.0,,0
